iter	Logloss
0	0.659183206
1	0.6297499955
2	0.6032449357
3	0.5828272008
4	0.565014782
5	0.5504335642
6	0.5353155549
7	0.5221389059
8	0.510898864
9	0.5021551792
10	0.4910531561
11	0.482961792
12	0.4746066658
13	0.4680343341
14	0.462188759
15	0.4569275404
16	0.4527937227
17	0.4489486244
18	0.4454222201
19	0.441009194
20	0.4379943319
21	0.4343553647
22	0.4326299623
23	0.4293294191
24	0.4268116939
25	0.4240527135
26	0.4218875127
27	0.4198380416
28	0.4178353048
29	0.4160788101
30	0.414306522
31	0.4132380414
32	0.4121544883
33	0.4106625825
34	0.4097726928
35	0.4092453947
36	0.4079962191
37	0.4068105787
38	0.4057475893
39	0.4048631063
40	0.4046497374
41	0.4035972522
42	0.402768208
43	0.40201012
44	0.4017773252
45	0.4016300408
46	0.4014529841
47	0.400430739
48	0.4003045145
49	0.3993460092
50	0.3991311306
51	0.3983550689
52	0.3975888458
53	0.397252796
54	0.3966591648
55	0.3959373181
56	0.3952048716
57	0.3947022858
58	0.3938661138
59	0.393273161
60	0.3926210351
61	0.3925643108
62	0.3922730004
63	0.3914675041
64	0.3909426353
65	0.3903988549
66	0.3900487905
67	0.3896606503
68	0.3896598978
69	0.3896065617
70	0.389529287
71	0.3893992863
72	0.3892079158
73	0.3888455925
74	0.388515166
75	0.3883072604
76	0.3881532536
77	0.3876139051
78	0.3874176953
79	0.3871497409
80	0.3870064556
81	0.386551641
82	0.3859050548
83	0.3853682895
84	0.3853553622
85	0.385310478
86	0.3852373298
87	0.3847902578
88	0.3844604776
89	0.3844549736
90	0.3844549735
91	0.3840704045
92	0.3836830954
93	0.3832885171
94	0.3831238414
95	0.3829435001
96	0.3827706377
97	0.3825371338
98	0.382400404
99	0.3822446794
100	0.3821998569
101	0.3817523649
102	0.3817511351
103	0.3815486231
104	0.3808992058
105	0.3805093052
106	0.3803346608
107	0.3800368929
108	0.3799993034
109	0.3797226824
110	0.3794674087
111	0.3794456988
112	0.3793351893
113	0.3786121816
114	0.3784702475
115	0.378193117
116	0.378184844
117	0.3780691554
118	0.3780149956
119	0.3779741316
120	0.377657877
121	0.3772083652
122	0.3770983458
123	0.3766078754
124	0.3764448155
125	0.3763005717
126	0.3762522315
127	0.3760387556
128	0.3758262869
129	0.3758243557
130	0.3758226295
131	0.3753567074
132	0.3748959934
133	0.3748783557
134	0.3746228106
135	0.3745200337
136	0.3745160928
137	0.3743114622
138	0.3742659322
139	0.3738458703
140	0.3736702416
141	0.3735115536
142	0.3732669556
143	0.3732299296
144	0.3731162468
145	0.3731161731
146	0.3731151571
147	0.372787723
148	0.3721672543
149	0.3719951176
150	0.3717009298
151	0.3712411456
152	0.371098214
153	0.3709642888
154	0.3706111774
155	0.3704918093
156	0.3701260012
157	0.3699008434
158	0.3697029993
159	0.3694781115
160	0.3687183897
161	0.3682205301
162	0.3678906039
163	0.3670604541
164	0.3668897808
165	0.3667384077
166	0.3664640639
167	0.3661181927
168	0.3657238725
169	0.3654874101
170	0.3652540348
171	0.3652156389
172	0.3650278523
173	0.3647373513
174	0.3643562333
175	0.3639646271
176	0.3637900451
177	0.3633562957
178	0.3631485924
179	0.3630104782
180	0.3627220715
181	0.3622626281
182	0.3620613439
183	0.3620396726
184	0.3614648082
185	0.3614124205
186	0.3611947463
187	0.3610596277
188	0.3608451003
189	0.3604815804
190	0.3603231412
191	0.3598234681
192	0.3593923063
193	0.3593917859
194	0.3591979663
195	0.3588194419
196	0.3585944006
197	0.3581487616
198	0.357770699
199	0.3573597838
